"Región","FALLECIDOS","TOTAL CASOS"
"AMAZONAS","1141","29518"
"ANCASH","6369","71806"
"APURIMAC","1389","24046"
"AREQUIPA","8304","94166"
"AYACUCHO","1937","29994"
"CAJAMARCA","3850","60925"
"CALLAO","9666","96596"
"CUSCO","4361","65728"
"HUANCAVELICA","1094","15087"
"HUANUCO","2552","33258"
"ICA","7821","54139"
"JUNIN","6540","76602"
"LA LIBERTAD","9765","81381"
"LAMBAYEQUE","8050","56772"
"LIMA METROPOLITANA","78800","831743"
"LIMA REGIÓN","6892","67826"
"LORETO","4012","40751"
"MADRE DE DIOS","738","13448"
"MOQUEGUA","1367","25784"
"PASCO","964","14589"
"PIURA","11422","80812"
"PUNO","3581","34007"
"SAN MARTIN","2847","45266"
"TACNA","1804","26731"
"TUMBES","1495","17194"
"UCAYALI","2996","31547"
